description,grade
ACRYLIC Black Matt 9x4x17,no
ACRYLIC Mirror Silver 9x4x17 IM,no
ACRYLIC White Matt 9x4x17,no
ACRYLIC/UV - Assorted Clearance Gloss 8x4x17mm,no
FOIL CHIP Kiaat 9x6x16 SF,yes
MDF Silktouch Flagstaff Ultra Matte 9x6x16,yes
MDF UV UPG DAKOTA OAK MATT 9X6X16 B-GRD,yes
MDF UV UPG GLACIER MATT 9X6X16 B-Grade,yes
MDF UV UPG LIBERTY OAK MATT 9X6X16 B-GRD,yes
MDF UV UPG LUNAR ASH MATT 9X6X16 B-GRD,yes
MDF UV UPG WASHED SHALE MATT 9X6X16 B-GRD,yes
MEL CHIP African Rosewood Linear 9x6x16 DF,yes
MEL CHIP Alaskan Cherry Linear 9x6x16 DF,yes
MEL CHIP American Walnut Pnd 9x6x16 DF,yes
MEL CHIP American White Oak LNR 9x6x16 DF,yes
MEL CHIP Basalt Silhouette 9x6x16 DF Sonae,yes
MEL CHIP Beige Linnen Linear 9x6x16 DF,yes
MEL CHIP Beige Linnen Txt 9x6x16DF B-GRD,yes
MEL CHIP Beverly Oak Linear 9x6x16 DF,yes
MEL CHIP Black Linear 9x6x16 DF,yes
MEL CHIP Black Linear 9x6x16 DF PG,yes
MEL CHIP Black Peen 9x6x16 DF PG,no
MEL CHIP Black Txt 9x6x16 DF,no
MEL CHIP Brookhill Fusion 9x6x16 DF PG,yes
MEL CHIP Brooklyn Linear 9x6x16 DF,yes
MEL CHIP Brooklyn Txt 9x6x16,yes
MEL CHIP Burgan Mahogany Peen 9x6x16DF,yes
MEL CHIP Caligra Text 9x6x16 DF,yes
MEL CHIP Carolina Cedar Lin 9x6x16 DF,yes
MEL CHIP Charcoal Grey Linear 9x6x16 DF,yes
MEL CHIP Charcoal Grey Txt 9x6x16 DF,no
MEL CHIP Charcoal Grey Txt 9x6x16 DF B-Grd,no
MEL CHIP Cherry Royal Alp 9x6x16 DF Sonae,yes
MEL CHIP Chobe Silhouette 9x6x16 DF Sonae,yes
MEL CHIP Congo Linear 9x6x16 DF PG,no
MEL CHIP Cream TXT 9x6x16DF BEST BUY,no
MEL CHIP Cruze TXT 9x6x16 DF,yes
MEL CHIP Dakota Oak Linear 9x6x16 DF,yes
MEL CHIP Dark Oak Linear 9x6x16 DIS,yes
MEL CHIP Dessert Sky Txt 9x6x16 DF,no
MEL CHIP Driftwood Linear 9x6x16 DF,yes
MEL CHIP Dunblane Grey Peen 9x6x16DF PG,no
MEL CHIP Flagstaff Oak Linear 9x6x16 DF,yes
MEL CHIP Folkstone Grey Peen 9x6x16mm PG,no
MEL CHIP Glaston Linear 9x6x16 DF,yes
MEL CHIP Iceberg White Linear 9x6x16 DF PG,no
MEL CHIP Iceberg White Peen 9x6x16 DF PG,no
MEL CHIP Kalapana Peen 9x6x16 DF PG,no
MEL CHIP Kara Blue Peen 9x6x16 DF PG,no
MEL CHIP Karlstad Oak Silhouette 9x6x16 DF Son,yes
MEL CHIP Lancaster Oak Linear 9x6x16 DF,yes
MEL CHIP Leatherwood Stucco 9x6x16 DF Sonae,yes
MEL CHIP Lexembourg Linear 9x6x16 DF,yes
MEL CHIP Liberty Oak Linear 9x6x16 DF,yes
MEL CHIP Luca Polenta Fusion 9x6x16 PG,yes
MEL CHIP Luca Urban Fusion 9x6x16 DF PG,yes
MEL CHIP Luna Lin 9x6x16mm BEST BUY,yes
MEL CHIP Lunar Ash Alp 9x6x16 DF Sonae,yes
MEL CHIP Metallic Cappuccino Txt 9x6x16 DF,yes
MEL CHIP Metropolitan Loft Text 9x6x16 DF,yes
MEL CHIP MoonStone Grey Txt 9x6x16 DF,no
MEL CHIP MoonStone Linear 9x6x16 DF Grey,yes
MEL CHIP MoonStone Txt 9x6x16 DF Grey B-Grade,no
MEL CHIP Nappa Oak Linear 9x6x16 DF,yes
MEL CHIP Natural Oak Peen 9x6x16DF PG,yes
MEL CHIP Nordic Ice Silhouette 9x6x16m DF Sonae,yes
MEL CHIP Olivia Text 9x6x16 DF,no
MEL CHIP Pearl Grey Text 9x6x16 DF,yes
MEL CHIP Premium White Txt 9x6x16 DF,no
MEL CHIP Pure White Alp 9x6x16 DF,yes
MEL CHIP Sahara Silhouette 9x6x16 DF Sonae,yes
MEL CHIP Savannah Linear 9x6x16 DF,yes
MEL CHIP Siberian Ice Linear 9x6x16 DF,yes
MEL CHIP Storm Grey Peen 9x6x16 DF PG,no
MEL CHIP Super White Ashwood 9x6x16 DF,yes
MEL CHIP Sycamore Linear 9x6x16 DF,yes
MEL CHIP Value White 9x6x16 DF,no
MEL CHIP Vardo Nat Touch 9x6x16 DF PG,yes
MEL CHIP Venetian Oak Linear 9x6x16 DF,yes
MEL CHIP Vermont Slate Silhouette 9x6x16 DF Sonae,yes
MEL CHIP Vintage Pine Linear 9x6x16 DF,yes
MEL CHIP Washed Oak Linear 9x6x16 DF,yes
MEL CHIP White Cedar Linear 9x6x16 DF,yes
MEL CHIP White Linnen Txt 9x6x16 DF,yes
MEL CHIP White Marble Alp 9x6x16 DF,yes
MEL CHIP Winchester Walnut TXT 9x6x16 DF,yes
MEL MDF Lancaster Oak Linear 9x6x16 DF,yes
MEL MDF Platinum White 9x6x16 DF,no
MEL MDF Platinum White 9x6x3 SF 202,no
MEL MDF Vancouver Maple Txt 9x6x16 DF,yes
MEL MDF Wenge Txt 9x6x16 DF,yes
"PLAIN CHIP 2750x1830x16mm ""Best Buy""",yes
PLAIN CHIP 2750x1830x16mm FX,yes
UV - Banbridge 9x6x17 PG,yes
UV - Black 9x6x17,no
UV - Black 9x6x17 Cutting GRD,no
UV - Black 9x6x17 PG,no
UV - Calais 9x6x17 PG,yes
UV - Caligra 9x6x17mm,yes
UV - Cappucinno 9x6x17 PG,no
